"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 08:10:00";"2";"0";"71";"1,56";"8388608";"832150";"9,92";"0";"7";"64";"5";"5"
"05.11.2015 08:15:00";"2";"0";"82";"1,8";"8388608";"972240";"11,59";"0";"8";"64";"6";"6"
"05.11.2015 08:20:00";"2";"0";"69";"1,52";"8388608";"1268358";"15,12";"0";"7";"64";"5";"5"
"05.11.2015 08:25:00";"2";"0";"71";"1,56";"8388608";"977273";"11,65";"0";"7";"64";"5";"5"
"05.11.2015 08:30:00";"2";"0";"69";"1,51";"8388608";"1027604";"12,25";"0";"6";"64";"6";"5"
"05.11.2015 08:35:00";"2";"0";"72";"1,57";"8388608";"1161822";"13,85";"0";"7";"64";"5";"5"
"05.11.2015 08:40:00";"2";"0";"70";"1,52";"8388608";"1050254";"12,52";"0";"6";"64";"5";"5"
"05.11.2015 08:45:00";"2";"0";"70";"1,53";"8388608";"1044382";"12,45";"0";"8";"64";"5";"5"
"05.11.2015 08:50:00";"2";"0";"72";"1,58";"8388608";"859832";"10,25";"0";"7";"64";"5";"5"
"05.11.2015 08:55:00";"2";"0";"71";"1,56";"8388608";"687027";"8,19";"0";"8";"64";"5";"5"
"05.11.2015 09:00:00";"2";"0";"69";"1,52";"8388608";"815373";"9,72";"0";"7";"64";"6";"5"
"05.11.2015 09:05:00";"2";"0";"72";"1,58";"8388608";"899259";"10,72";"0";"8";"64";"5";"5"
"05.11.2015 09:10:00";"2";"0";"70";"1,53";"8388608";"838022";"9,99";"0";"8";"64";"5";"5"
"05.11.2015 09:15:00";"2";"0";"80";"1,76";"8388608";"1044382";"12,45";"0";"7";"64";"6";"5"
"05.11.2015 09:20:00";"2";"0";"69";"1,52";"8388608";"1436130";"17,12";"0";"7";"64";"5";"5"
"05.11.2015 09:25:00";"2";"0";"70";"1,54";"8388608";"1039349";"12,39";"0";"7";"64";"5";"5"
"05.11.2015 09:30:00";"2";"0";"67";"1,48";"8388608";"1072903";"12,79";"0";"6";"64";"6";"5"
"05.11.2015 09:35:00";"2";"0";"72";"1,57";"8388608";"926941";"11,05";"0";"7";"64";"5";"5"
"05.11.2015 09:40:00";"2";"0";"74";"1,63";"8388608";"1010827";"12,05";"0";"19";"64";"19";"6"
"05.11.2015 09:45:00";"2";"0";"70";"1,53";"8388608";"1010827";"12,05";"0";"7";"64";"6";"6"
"05.11.2015 09:50:00";"2";"0";"72";"1,58";"8388608";"893387";"10,65";"0";"8";"64";"5";"5"
"05.11.2015 09:55:00";"2";"0";"72";"1,57";"8388608";"854799";"10,19";"0";"8";"64";"5";"5"
"05.11.2015 10:00:00";"2";"0";"71";"1,56";"8388608";"1027604";"12,25";"0";"8";"64";"6";"6"
"05.11.2015 10:05:00";"2";"0";"150";"3,28";"8388608";"989017";"11,79";"0";"9";"64";"6";"6"
"05.11.2015 10:10:00";"2";"0";"219";"4,79";"8388608";"1559442";"18,59";"0";"9";"64";"182";"13"
